publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Prime Matter,472.0,472.0,,1,73.0,
Prismatika,1034.0,1034.0,,1,78.0,
Private Division,1166.0,394.0,1425.5065766246048,3,81.33333333333333,1.2225613864705016
Ravenscourt,535.0,535.0,,1,74.0,
Raw Fury,1109.0,1093.5,395.2149505558426,8,76.875,0.3563705595634289
Red Hook Studios,1803.0,1803.0,,1,84.0,
RedRuins Softworks,791.0,791.0,,1,66.0,
Righteous Hammer Games,1673.0,1673.0,,1,78.0,
Ripstone,1994.75,2199.0,625.9698475166356,4,79.25,0.31380867152106057
Robot Entertainment,1509.5,1509.5,170.41273426595797,2,78.0,0.11289349736068763
Rockstar Games,2431.0,2431.0,,1,92.0,
Runic Games,920.0,920.0,,1,78.0,
SEGA,1470.1666666666667,1773.0,963.1291536791247,6,82.5,0.6551156243141081
SNK,0.0,0.0,,1,76.0,
SUPERHOT Team,1396.0,1396.0,,1,82.0,
Saber Interactive,569.8571428571429,499.0,348.7718588473123,7,75.85714285714286,0.61203384605946
Santa Ragione,652.0,652.0,922.067242667258,2,70.5,1.4142135623730951
Secret Mode,518.0,518.0,,1,78.0,
Sekai Project,4098.5,4098.5,242.5376259469858,2,78.0,0.05917716870732848
Serenity Forge,2199.3333333333335,2225.0,1233.700260733268,3,71.66666666666667,0.5609428284631409
Shiro Games,1351.0,1351.0,,1,66.0,
Ska Studios,2115.0,2115.0,,1,84.0,
Skybound Games,510.2,537.0,298.78955805047804,5,76.2,0.5856322188366877
Slitherine,1709.0,1709.0,,1,71.0,
Snapbreak Games,857.0,857.0,,1,78.0,
Snowcastle Games,2632.0,2632.0,,1,78.0,
Snowman,0.0,0.0,,1,78.0,
Something We Made,1099.0,1099.0,,1,79.0,
Sony Computer Entertainment,758.0,758.0,,1,68.0,
Sony Interactive Entertainment,1215.0,1215.0,101.82337649086284,2,84.0,0.08380524814062786
Spiderweb Software,491.0,491.0,,1,78.0,
Square Enix,1992.0,1891.5,1215.9957967763612,10,80.3,0.6104396570162456
Stardock Entertainment,1957.5,1992.5,428.0315408938925,4,79.5,0.21866234528423628
Studio Wildcard,2252.5,2252.5,589.0199487283941,2,70.0,0.2614960926652138
Subset Games,1413.3333333333333,920.0,1086.5239681356934,3,88.0,0.7687669585865755
Supergiant Games,1794.0,1794.0,,1,83.0,
Supra Games,1168.0,1168.0,,1,84.0,
Sweet Bandits Studios,597.0,597.0,,1,78.0,
Systemic Reaction,175.0,175.0,,1,78.0,
TBA,436.0,436.0,,1,78.0,
THQ,2696.0,2696.0,,1,83.0,
THQ Nordic,3462.5,3462.5,231.22391744800103,2,80.5,0.06677947074310499
Tanuki Creative Studio,1015.0,1015.0,,1,78.0,
Tate Multimedia,8524.0,8524.0,,1,78.0,
Team Colorblind,926.0,926.0,,1,81.0,
Team17 Digital,1636.6,1130.0,1963.8712949574613,20,75.7,1.1999702401059889
Techland Publishing,1741.0,1741.0,1769.1811665287419,2,81.0,1.016186769976302
Telltale Games,1891.0,1891.0,513.3595231414336,2,79.5,0.2714751576633705
Tequila Works,728.0,728.0,,1,78.0,
Terrible Posture Games,0.0,0.0,0.0,2,78.5,
Terrible Toybox,695.0,695.0,,1,84.0,
The Astronauts,2403.5,2403.5,77.07463914933368,2,80.0,0.032067667630261566
The Drone Racing League,1924.0,1924.0,,1,78.0,
The Fullbright Company,1087.0,1087.0,,1,78.0,
The MIX Games,2.0,2.0,,1,78.0,
The Quantum Astrophysicists Guild,1154.5,1154.5,1085.4089091213505,2,78.0,0.9401549667573412
TheGameWall Studios,653.0,653.0,,1,53.0,
Thekla,1165.0,1165.0,,1,87.0,
Thermite Games,860.0,860.0,,1,78.0,
Thomas Happ Games,1409.0,1409.0,,1,80.0,
Those Awesome Guys,779.0,779.0,,1,76.0,
Thunder Lotus Games,1973.0,1973.0,627.9108216936542,2,79.0,0.31825181028568383
Thunderful Publishing,1156.0,1156.0,,1,68.0,
Tomorrow,2431.25,2793.0,1523.899028807355,4,78.5,0.6267965157048248
Trapped Nerve Games,590.0,590.0,,1,75.0,
Tripwire Interactive,1468.8,1329.0,549.5327105823638,5,76.0,0.3741371940239405
Triternion,1445.0,1445.0,,1,81.0,
Turning Wheel,1864.0,1864.0,,1,78.0,
Ubisoft Entertainment,1566.8333333333333,1485.0,546.612263553121,6,77.83333333333333,0.34886433159437574
Unknown Worlds Entertainment,323.0,323.0,,1,83.0,
Uppercut Games,818.3333333333334,637.0,541.2811961756415,3,78.0,0.6614434169152442
VIZ Media,569.0,569.0,,1,78.0,
Vanimals,1199.0,1199.0,,1,78.0,
Versus Evil,1502.6666666666667,1109.0,707.9903483334596,3,76.0,0.47115595496902807
Vertigo Gaming,926.0,926.0,,1,78.0,
Vlambeer,1434.0,1434.0,,1,78.0,
Wales Interactive,1451.0,1451.0,,1,64.0,
Wargaming,422.5,422.5,361.3315651863258,2,78.0,0.8552226394942622
Warhorse Studios,1622.0,1622.0,1261.4784976368007,2,71.0,0.7777302698130707
Warner Bros. Interactive,2221.0,2221.0,950.3515139147198,2,87.5,0.4278935226991084
Wild Rooster,0.0,0.0,,1,78.0,
