publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Perfect Game Speed Company,639.0,639.0,,1,79.0,0.5
Perfect World Entertainment,1400.5,1142.5,1261.8025466239426,4,77.25,0.9009657598171672
Phoenix Online Publishing,1187.0,1187.0,,1,85.0,0.5
Picogram,334.0,334.0,,1,70.0,0.5
Pillow Castle Games,670.0,670.0,,1,77.0,0.5
Pixel Lantern,700.0,700.0,,1,63.0,0.5
PlayStack,365.5,365.5,386.7874093090415,2,87.0,1.05824188593445
PlayWay,760.6666666666666,669.0,690.0813961652157,3,72.66666666666667,0.9072060422855597
Playdead,1673.0,1673.0,774.9890321804561,2,93.0,0.46323313340134853
Playdigious,2070.0,2070.0,,1,79.0,0.5
Playful,274.0,274.0,,1,76.0,0.5
Playism,403.25,440.5,243.84882611979086,4,78.75,0.6047088062487064
Playniac,509.0,509.0,,1,78.0,0.5
Playtonic Friends,731.0,731.0,,1,84.0,0.5
Plethora Project,242.0,242.0,,1,78.0,0.5
Plug In Digital,1227.1333333333334,1068.0,545.3486259353037,15,75.2,0.4444086156912889
PopCap Games,4438.4,4901.0,909.5629719815994,5,79.4,0.204930374004506
Project Moon,457.0,457.0,,1,95.0,0.5
Psyonix,1096.0,1096.0,,1,87.0,0.5
QCF Design,91.0,91.0,,1,78.0,0.5
ROCKFISH Games,638.0,638.0,516.1879502661797,2,80.0,0.8090720223607831
Rareware,9039.0,9039.0,,1,85.0,0.5
Ravenscourt,455.0,455.0,342.239682094289,2,76.5,0.7521751254819538
Raw Fury,876.5,791.0,617.5247510681804,12,78.0,0.7045347987087056
Rebellion,529.6,425.0,431.1963589827725,5,74.0,0.8141925207378634
Red Barrels,1511.3333333333333,1491.0,334.96318205637664,3,78.66666666666667,0.2216342183875452
Red Hook Studios,2588.0,2588.0,,1,84.0,0.5
RedCandleGames,184.0,184.0,,1,83.0,0.5
RedRuins Softworks,1096.0,1096.0,,1,71.0,0.5
Reverb Communications,1171.0,1171.0,,1,81.0,0.5
Reverb Triple XP,1634.0,1634.0,,1,78.0,0.5
Revolution Software,2982.0,2982.0,,1,78.0,0.5
Riot Games,1993.75,1126.5,1883.6498922747471,4,81.0,0.9447773754356098
Rising Star Games,426.0,426.0,,1,77.0,0.5
Robot Entertainment,1005.0,1005.0,,1,77.0,0.5
Rockstar Games,1906.6666666666667,912.0,2018.9842330571412,3,93.0,1.0589078145404587
Rogue Snail,92.0,92.0,,1,78.0,0.5
RogueCode,1081.0,1081.0,,1,78.0,0.5
RubberBandGames,31.0,31.0,,1,80.0,0.5
RyseUp Studios,549.0,549.0,,1,78.0,0.5
SEGA,2894.28,1857.0,3036.809503544193,50,80.34,1.0492452366544331
SIGONO,365.0,365.0,,1,90.0,0.5
SMG Studio,777.0,777.0,410.1219330881976,2,80.0,0.527827455711966
SNK,5979.2,6549.0,2604.6745925994924,10,73.2,0.43562259041334833
SUPERHOT Team,1115.0,1216.0,317.77507768860664,3,82.66666666666667,0.2850000696758804
SUPERLEVEL,15461.0,15461.0,,1,78.0,0.5
Saber Interactive,975.0,975.0,1032.3759005323593,2,69.5,1.0588470774690866
SadSquare Studio,1096.0,1096.0,,1,80.0,0.5
Sam Barlow,2526.0,2526.0,,1,86.0,0.5
Scott Cawthon,2093.5,2101.0,145.1470518703933,4,64.75,0.06933224354926835
Secret Mode,457.0,457.0,,1,75.0,0.5
Shin'en Multimedia,243.0,243.0,,1,79.0,0.5
Shiro Unlimited,669.0,669.0,,1,80.0,0.5
Sierra On-Line,13498.0,13498.0,709.9352083112938,2,78.0,0.052595585146784245
Skookum Arts,731.0,731.0,,1,81.0,0.5
Skunkape Games,2039.0,2039.0,0.0,2,74.5,0.0
Skybound Games,1055.3333333333333,548.0,986.2704159272614,3,75.66666666666667,0.9345581957617766
Slitherine,457.0,457.0,429.9209229614209,2,80.0,0.9407460021037657
Sold Out,175.5,175.5,33.23401871576773,2,76.0,0.18936762801007254
Something We Made,668.0,668.0,,1,79.0,0.5
