publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Stunlock Studios,511.0,511.0,,1,83.0,0.5
Sumo Digital,337.0,337.0,,1,74.0,0.5
Super Rare Originals,395.0,428.0,124.81586437628832,3,76.0,0.3159895300665527
Supra Games,427.0,427.0,,1,82.0,0.5
Surefire.Games,335.0,335.0,,1,82.0,0.5
Surprise Attack,837.25,918.5,501.44283489413493,4,76.25,0.5989164943495192
Sweet Bandits Studios,164.0,164.0,,1,75.0,0.5
TBA,394.0,394.0,,1,76.0,0.5
THQ Nordic,889.1666666666666,672.0,1147.042953089327,24,73.16666666666667,1.2900201909158318
Tate Multimedia,146.0,146.0,,1,66.0,0.5
Team Cherry,616.0,616.0,,1,88.0,0.5
Team Reptile,534.3333333333334,471.0,145.7166199626293,3,80.0,0.2727073361746025
Team17 Digital,412.15384615384613,375.0,259.84292203089666,39,74.48717948717949,0.6304512852560016
Techland Publishing,1714.5,1714.5,2232.3361082059305,2,81.0,1.3020333089565066
Telltale Games,1784.0,1784.0,,1,76.0,0.5
Tequila Works,244.0,244.0,,1,83.0,0.5
The Fullbright Company,184.0,184.0,,1,79.0,0.5
The Quantum Astrophysicists Guild,356.5,356.5,130.8147545195113,2,83.5,0.3669418079088676
Thekla,432.0,432.0,,1,87.0,0.5
Thermite Games,770.0,770.0,,1,76.0,0.5
Thomas Biskup,10043.0,10043.0,,1,76.0,0.5
Those Awesome Guys,370.0,370.0,,1,73.0,0.5
Thunder Lotus Games,723.0,723.0,371.938166904124,2,81.0,0.5144372986225781
Thunderful Publishing,730.0,730.0,,1,68.0,0.5
Timberline Studio,1166.0,1166.0,,1,67.0,0.5
Tinogames,486.0,486.0,,1,68.0,0.5
ToasterFuel,504.0,504.0,,1,76.0,0.5
Total Mayhem Games,268.5,268.5,38.890872965260115,2,70.0,0.1448449644888645
Touchstone Studios,4331.0,4331.0,,1,67.0,0.5
Trapped Nerve Games,294.0,294.0,,1,75.0,0.5
Tribute Games,315.0,315.0,,1,76.0,0.5
Trion Worlds,1362.5294117647059,1362.0,153.52366171337357,17,65.0,0.11267548457140054
