game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Conquests of Camelot: The Search for the Grail,1/1/1990,7/1/2025,,,"Activision Blizzard, Sierra On-Line","Sierra Entertainment, Sierra, Sierra On-Line",Xbox / PC
Gabriel Knight: Sins of the Fathers,1/1/1993,7/1/2025,,,Activision Blizzard,"Sierra, Phoenix Online Studios, Sierra On-Line",Xbox / PC
Hard Head,1/1/1983,7/1/2025,,,Konami,"Konami Digital Entertainment, Arc System Works, Arc System Works Co.",Xbox / PC
Okie Dokie,1/1/1996,7/1/2025,,,Sony Computer Entertainment,"Sony Interactive Entertainment, Humanature Studios",Xbox / PC
Skate Boardin',7/1/1987,7/1/2025,,,"Activison, Absolute Entertainment",Absolute Entertainment,Xbox / PC
Skeleton+,1/1/2003,7/1/2025,,,Vyacheslav Shilikhin,Vyacheslav Shilikhin,Xbox / PC
He Is Coming (Game Preview),7/1/2025,7/1/2025,,,Holospark,Holospark,PC
RoboCop: Rogue City,11/1/2023,7/1/2025,,72,Nacon,Teyon,Xbox / PC
My Friendly Neighborhood,7/1/2023,7/1/2025,,81,,DreadXP,Xbox / PC
High on Life,12/1/2022,7/1/2025,,67,Squanch Games,Squanch Games,Xbox / PC
Tony Hawk's Pro Skater 3 + 4,7/1/2025,7/1/2025,,82,"Activision Blizzard, Activision Value Publishing",Iron Galaxy Studios,Xbox / PC
Minami Lane,2/1/2024,7/1/2025,,78,Doot,"Doot, Blibloop",Xbox / PC
The Ascent,7/1/2021,7/1/2025,,70,Curve Digital,Neon Giant,Xbox / PC
Ultimate Chicken Horse,9/1/2018,7/1/2025,,80,Clever Endeavour Games,"NVIDIA Lightspeed Studios, Clever Endeavour Games",Xbox / PC
Cosmic Commuter,1/1/1985,7/1/2025,,,3D Realms,"3D Realms, Apogee Software",Xbox / PC
Heart of China,1/1/1991,7/1/2025,,,"Activision Blizzard, Sierra On-Line, Sierra Entertainment",Dynamix,Xbox / PC
Skiing,1/1/1980,7/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Solar Storm,1/1/1983,7/1/2025,,,"Lucid Dreams Studios, Jakub Tomšů","Lucid Dreams Studios, Jakub Tomšů",Xbox / PC
Subterranea,1/1/1983,7/1/2025,,,Xenoaisam Studio,XenoAisam,Xbox / PC
Little Nightmares II,2/1/2021,7/1/2025,,82,Bandai Namco Entertainment,Tarsier Studios,Xbox / PC
